Date,Last Name,Bloom Level,Lesson Code,Learning Resource Code,Question,Choice A,Choice B,Choice C,Choice D,Correct Choice,Explanation,Status
2026-08-17,Abesia,Knowledge,1,,Who defined AI as the science of making machines do things that would require intelligence done by men?,John McCarthy,Marvin Minsky,Allen Newell,Vincent Depaudhon,B,,
2026-08-17,Abesia,Understanding,1,,Which statement best explains AI in a modern view according to Horvitz (1990)?,AI is using computer-based methods for solving challenging tasks traditionally dependent on humans,AI brings all available knowledge to bear problem solving,Both A and B,None of these answers,A,,
2026-08-17,Abesia,Application,1,,"When an AI system gathers data from its environment to improve its performance, from which source of knowledge does it derive?",Human knowledge converted into a suitable format,Knowledge generated by the AI via data gathering,Knowledge generated by AI to support Emotional Intelligence,None of these answers,B,,
2026-08-17,Abesia,Analysis,1,,"Which statement correctly contrasts the differences between humans and computers?","Humans use discrete binary logic, while computers use continuous fuzzy logic","Humans must be programmed, while computers have the capacity to learn",Humans use electrochemical storage while computers use electrionic/magnetic storage,Humans have unlimited memory while computers are limited,C,,
2026-08-17,Abesia,Evaluation,1,,"A tech company claims that its new chatbot truly understands human language simply because it can rephrase what users type and give realistic replies. Do you think this claim is right?
","Yes, because having the idea that it can reply is already a proof of it","Yes, because conversational responses require biological brain cells","No, because simply repeating and rephrasing text using grammar roles is not genuine understanding","No, because it is not enough",C,,
2026-08-17,Abesia,Synthesis,1,,Choose the option that best synthesizes why AI collapsed in the 1970s.,Humans made unrealistic claims and did not fulfill their expectations,Humans did not fund it enough,Humans are not interested in AI anymore,Humans focused more on the “landing on the moon” mission,A,,
2026-08-17,Mayores,Knowledge,1,,Which of the following people did NOT provide a definition of Artificial Intelligence?,Marvin Minsky,Howard Gardner,Allen Newell,Eric Horvitz,B,,
2026-08-17,Mayores,Understanding,1,,Why does the reading classify robotics under AI even though the robot's manipulator arm is purely a mechanical component?,Because the arm can learn new movements through repetition over time,Because the intelligence sits in how the control unit interprets sensor input and direct's the arm's actions,"Because the arm requries a power source, and a power source is what qualifies a system as intelligent",Because the manipulator arm processes natural language commands directly,B,,
2026-08-17,Mayores,Application,1,,"A system is designed to autonomously navigate a hazardous environment to ensure its own power source is maintained. According to Kevin Warwick's general definition, what is this system primarily exhibiting?",Nature-only traits,Intelligence for survival,Biological respiration,IQ-based logic,B,,
2026-08-17,Mayores,Analysis,1,,"Why would an expert system like MYCIN struggle with ordinary, everyday situations requiring common sense?",Because it lacks a power source needed to process real-time sensor data,Because it was designed before natural language processing existed,Because it relies on physical manipulators to interact with real-life ambiguity,"Because it's built around a narrow, specific domain of expertise, and can't reason outside that pre-programmed scope the way general common sense needs",D,,
2026-08-17,Mayores,Evaluation,1,,"According to the ""Alien View"" discussed in A2, on what grounds might an outside observer evalaute a global communications network as the primary intelligent life form on Earth, rather than humans?","Humans are biologically limited because they cannot perceive ultraviolet, ultrasonic, or X-ray signals","The network satisfies biological indications of life, while humans appear to be simpler, drone-like beings serving its functions","A pure count of neural-type cells in a networked ""brain"" would prove it is more complex than a 100-billion-neuron human brain.",Human intelligence is too subjective and restricted by cultural biases such as preference for rock music,B,,
2026-08-17,Mayores,Synthesis,1,,"You want an agent that plays chess well against novel opponents and can explain its reasoning afterwards with natural language. Which two AI subfields from the reading are essential to prioritize, and which are comparatively less important for this specific goal?",Vision Systems and Speech Recognition are essential while Game Playing and NLP are less critical,Game Playing and Vision Systems are essential while NLP and Speech Recognition are less Critical,Expert Systems and Robotics are essential while Game Playing and NLP are less critical,Game Playing and NLP are essential while Vision Systems and Speech Recognition are less critical,D,,
2026-08-17,Palanas,Knowledge,1,,Who coined the term Artificial Intelligence?,Tim-Burners Lee,Theodore Simon,Erving Goffman,John McCarthy,D,,
2026-08-17,Palanas,Understanding,1,,Which of the following is a concept of nurture?,Genetic makeup,Nationality,Upbringing,Born wealth,C,,
2026-08-17,Palanas,Application,1,,A teacher wants to evaluate the intelligence of their student using a test. What branch of intelligence in Sternberg’s Triarchic Theory of intelligence is the teacher applying?,Interpersonal,Experimental,Contextual,Componential,D,,
2026-08-17,Palanas,Analysis,1,,Distinguish between Animal Intelligence and Human Intelligence,"Animal intelligence is only focused on their reasoning and profiting from good experiences, while human intelligence is only about forming patterns","Animal intelligence is a variety of information-processing abilities that enable a being to autonomously pursue survival, while human intelligence is a combination of a human being’s ability to learn, pose problems, and solve problems","Animal intelligence is based on their judgement, common sense, and initiative, while human intelligence only cares for their need for survival","Animals have a lower intelligence level, while humans are more intelligent",B,,
2026-08-17,Palanas,Evaluation,1,,What reasoning best criticizes the Turing Test and its goal to distinguish between a human and a machine?,The test fails to consider the emotional and creative thinking of humans,Humans were often seen as robots during the experiment,Machine behavior is never able to influence the interrogator into thinking that it is a human,The test was too expensive,A,,
2026-08-17,Palanas,Synthesis,1,,"We say that human traits lie in their capacity to learn, think, problem-solve, and have common sense. If a computer copies these traits during the Turing test, what is the best way the human can persuade the interrogator to think he is a human?",Show their analytical and computational skills,Show their deductive reasoning,Show their ability to follow instructions,Show their creativity in art and common sense,D,,
2026-08-17,Tomagan,Knowledge,1,,Where does an AI system's knowledge come from?,Human knowledge that converted to machine format and the one that AI generates,From the wep applications online and social media posts,From its built-in emotions,From user's browsing history,A,,
2026-08-17,Tomagan,Understanding,1,,Why is intelligence hard to define?,"Because only IQ tests can define it, and they're expensive","Because definition changes across time, species, culture, and context",Because intelligence doesn't really exist at all,Because scientists have simply been too lazy to agree on one,B,,
2026-08-17,Tomagan,Application,1,,"How would you use AI, which is designed to solve problems intelligently, to create an essay about emotions and judgement?",Prompt everything to AI.,"Let AI come up with the idea, then you revise it.","Brainstorm your idea with AI and let it handle only the technical part, like grammar.",,C,,
2026-08-17,Tomagan,Analysis,1,,"If IQ tests mainly predict exam performance but not job performance, what does that tell us about what they actually measure?",They measure job performance,They measure every kind of intelligence equally,They prove IQ and intelligence are exactly the same thing,"They measure a narrow, examination type skills, not general intelligence",D,,
2026-08-17,Tomagan,Evaluation,1,,Do you think the Turing Test settles what thinking is and defines real intelligence?,"No, because it only captures behavior, not actual understanding.","Yes, because passing the test proves a machine is truly conscious.","No, because computers cannot be tested against humans at all.","Yes, because it is compared directly to a human.",A,,
2026-08-17,Tomagan,Synthesis,1,,"AI moved from a philosophical question of ""can machines think?"" to practical, real-world systems. During the AI winter, AI development slowed down. Based on the synthesis of the topic, what enabled AI's further development?",By halting all funding until a perfect thinking machine was built.,"By building AI that solves useful problems, rather than machines that think exactly like humans.",By proving philosophically that machines can definitely think like humans.,By ignoring computing power improvements and focusing only on theory.,B,,
2026-08-20,Abesia,Knowledge,2,,Which of the following is one of the four essential conditions of a well-defined problem,Inevocable control strategy,Personal ownership and commitment,Extension truth table,Automated conflict resolution,B,,
2026-08-20,Abesia,Understanding,2,,"What makes a computer program a true ""knowledge-based system"" rather than a standard software program?",It runs faster than traditional procedural programs,It guarantees 100% accuracy on every calculation,It produces decisions by reasoning over an explicit collection of represented beliefs,"It relies entirely on hardcoded, compiled rules distributed throughout its functions",C,,
2026-08-20,Abesia,Application,2,,A developer is creating an expert system to diagnose rare plant diseases from a small list of known conditions by asking users about specific leaf symptoms. Which inference method should be used? , Forward chaining,Backward Chaining,Progression Planning, Exhaustive state-space search ,B,,
2026-08-20,Abesia,Analysis,2,,"A company wants to store large customer transaction histories that change continuously and are updated by data-entry staff. Mr. Ortula, the company's consultant, suggests building a full Knowledge-Based System (KBS) for this task. Based on the system's operational requirements, why is Mr. Ortula's proposal an architectural mismatch?","A KBS handles small, expert rules, while a DBMS is built for large, clerk-updated records",A KBS cannot save basic numbers or text,A standard DBMS already performs full automated reasoning on its own,"It isn't a mismatch, just trust Mr. Ortula's suggestion",A,,
2026-08-20,Abesia,Evaluation,2,,An engineer wants to use an irrevocable control strategy where rule firing order does not risk losing the goal. What property must the production system have to justify this choice?,Non-monotonicity,Commutativity,Refraction,Extensionality,B,,
2026-08-20,Abesia,Synthesis,2,,Andrei needs to diagnose which of four specific blood disorders matches a patient's symptoms. Which setup is best suited for this task?,Forward chaining with a neural network,Backward chaining with a rule-based system,Forward chaining only,Random search with a database table,B,,
2026-08-20,Mayores,Knowledge,2,,What are the first 3 steps of Polya's Process?,"Understand, Plan, Implement","Identify, Define, Represent","Problem Definition, Problem Analysis, Technique Selection","Understand, Represent, Implement",A,,
2026-08-20,Mayores,Understanding,2,,"A system starts with known facts of a case, works forward step by step until it reaches a conclusion. Which inference strategy is this?",Backwards chaining,Forwards chaining,Problem Reduction,Problem Abduction,B,,
2026-08-20,Mayores,Application,2,,"A cybersecurity analyst discovers that customer data was leaked. Starting from the exact record where the leak was detected, the analyst traces the system logs step by step to reconstruct how the attacker originally gained access. Which problem-solving technique is the analyst applying?",Forward chaining,Working backward,Divide and conquer,Exhaustive Enumeration,B,,
2026-08-20,Mayores,Analysis,2,,"""Solving a subproblem"" and ""solving a subgoal"" are both ways of breaking a problem into parts, but they differ in a structural way. Which best captures that difference?","Subgoals can be solved in any order, while subproblems must follow a strict sequence","Subproblems are solved independently of each other (ex. finding odd factors, then even factors) while subgoals are dependencies where the main goal cannot be reached until each subgoal is solved first",Subproblems and subgoals are interchangeable terms for the same technique,"Subgoals only apply to mathematical problems, subproblems only apply to logic puzzles",B,,
