id|module|bloom|question|choiceA|choiceB|choiceC|choiceD|correct|explanation
m01-01|module01|Remember|Who defined AI as the science of making machines do things that would require intelligence done by men?|John McCarthy|Marvin Minsky|Allen Newell|Vincent Depaudhon|B|1_explenation1
m01-02|module01|Understand|Which statement best explains AI in a modern view according to Horvitz (1990)?|AI is using computer-based methods for solving challenging tasks traditionally dependent on humans|AI brings all available knowledge to bear problem solving|Both A and B|None of these answers|A|1_explenation2
m01-03|module01|Apply|When an AI system gathers data from its environment to improve its performance, from which source of knowledge does it derive?|Human knowledge converted into a suitable format|Knowledge generated by the AI via data gathering|Knowledge generated by AI to support Emotional Intelligence|None of these answers|B|1_explenation3
m01-04|module01|Analyze|"Which statement correctly contrasts the differences between humans and computers?
"|Humans use discrete binary logic, while computers use continuous fuzzy logic|Humans must be programmed, while computers have the capacity to learn|Humans use electrochemical storage while computers use electrionic/magnetic storage|Humans have unlimited memory while computers are limited|C|1_explenation4
m01-05|module01|Evaluate|A tech company claims that its new chatbot truly understands human language simply because it can rephrase what users type and give realistic replies. Do you think this claim is right?|Yes, because having the idea that it can reply is already a proof of it|Yes, because conversational responses require biological brain cells|No, because simply repeating and rephrasing text using grammar roles is not genuine understanding|No, because it is not enough|C|1_explenation5
m01-06|module01|Synthesis|Choose the option that best synthesizes why AI collapsed in the 1970s.|Humans made unrealistic claims and did not fulfill their expectations|Humans did not fund it enough|Humans are not interested in AI anymore|Humans focused more on the “landing on the moon” mission|A|1_explenation6
m01-07|module01|Remember|Which of the following people did NOT provide a definition of Artificial Intelligence?|Marvin Minsky|Howard Gardner|Allen Newell|Eric Horvitz|B|1_explenation7
m01-08|module01|Understand|Why does the reading classify robotics under AI even though the robot's manipulator arm is purely a mechanical component?|Because the arm can learn new movements through repetition over time|Because the intelligence sits in how the control unit interprets sensor input and direct's the arm's actions|Because the arm requries a power source, and a power source is what qualifies a system as intelligent|Because the manipulator arm processes natural language commands directly|B|1_explenation8
m01-09|module01|Apply|A system is designed to autonomously navigate a hazardous environment to ensure its own power source is maintained. According to Kevin Warwick's general definition, what is this system primarily exhibiting?|Nature-only traits|Intelligence for survival|Biological respiration|IQ-based logic|B|1_explenation9
m01-10|module01|Analyze|Why would an expert system like MYCIN struggle with ordinary, everyday situations requiring common sense?|Because it lacks a power source needed to process real-time sensor data|Because it was designed before natural language processing existed|Because it relies on physical manipulators to interact with real-life ambiguity|Because it's built around a narrow, specific domain of expertise, and can't reason outside that pre-programmed scope the way general common sense needs|D|1_explenation10
m01-11|module01|Evaluate|"According to the ""Alien View"" discussed in A2, on what grounds might an outside observer evalaute a global communications network as the primary intelligent life form on Earth, rather than humans?"|Humans are biologically limited because they cannot perceive ultraviolet, ultrasonic, or X-ray signals|The network satisfies biological indications of life, while humans appear to be simpler, drone-like beings serving its functions|"A pure count of neural-type cells in a networked ""brain"" would prove it is more complex than a 100-billion-neuron human brain."|Human intelligence is too subjective and restricted by cultural biases such as preference for rock music|B|1_explenation11
m01-12|module01|Synthesis|You want an agent that plays chess well against novel opponents and can explain its reasoning afterwards with natural language. Which two AI subfields from the reading are essential to prioritize, and which are comparatively less important for this specific goal?|Vision Systems and Speech Recognition are essential while Game Playing and NLP are less critical|Game Playing and Vision Systems are essential while NLP and Speech Recognition are less Critical|Expert Systems and Robotics are essential while Game Playing and NLP are less critical|Game Playing and NLP are essential while Vision Systems and Speech Recognition are less critical|D|1_explenation12
m01-13|module01|Remember|Who coined the term Artificial Intelligence?|Tim-Burners Lee|Theodore Simon|Erving Goffman|John McCarthy|D|1_explenation13
m01-14|module01|Understand|Which of the following is a concept of nurture?|Genetic makeup|Nationality|Upbringing|Born wealth|C|1_explenation14
